specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
DRA190718-001,vag,W,JL,hindwing,142.285,1,1733,1666,,,
,,,,,,2,1837,1735,,,
,,,,,,3,1828,1751,,,
,,,,,,4,1642,1768,,,
,,,,,,5,1551,1756,,,
,,,,,,6,1503,1798,,,
DRA190815-001,vag,W,JL,hindwing,140.994,1,1369.667,1737.333,,,
,,,,,,2,1476.333,1874.667,,,
,,,,,,3,1464.333,1888,,,
,,,,,,4,1345.667,1840,,,
,,,,,,5,1191,1758.667,,,
,,,,,,6,1159,1789.333,,,
DRA190815-002,imp,W,JL,hindwing,141.849,1,1443.333,605.667,,,
,,,,,,2,1542,728.333,,,
,,,,,,3,1520.667,739,,,
,,,,,,4,1424.667,703,,,
,,,,,,5,1270,632.333,,,
,,,,,,6,1234,657.667,,,
DRA190815-003,imp,W,JL,hindwing,142.386,1,1523,513,,,
,,,,,,2,1657,583,,,
,,,,,,3,1646,602,,,
,,,,,,4,1549,598,,,
,,,,,,5,1376,594,,,
,,,,,,6,1345,637,,,
DRA190815-004,imp,W,JL,hindwing,141.124,1,1339,212,,,
,,,,,,2,1499,265,,,
,,,,,,3,1492,287,,,
,,,,,,4,1386,310,,,
,,,,,,5,1200,342,,,
,,,,,,6,1183,385,,,
DRA190805-005,vag,W,JL,hindwing,204.497,1,1612.667,748.667,,,
,,,,,,2,1811.333,883.333,,,
,,,,,,3,1799.333,904.667,,,
,,,,,,4,1632.667,890,,,
,,,,,,5,1392.667,859.333,,,
,,,,,,6,1352.667,912.667,,,
FJ190529001,imp,W,JL,hindwing,140.221,1,1581.333,614.667,,,
,,,,,,2,1812,756,,,
,,,,,,3,1785.333,788,,,
,,,,,,4,1601.333,777.333,,,
,,,,,,5,1334.667,749.333,,,
,,,,,,6,1281.333,816,,,
FJ190716-008,bimac,W,JL,hindwing,142.672,1,1634,593,,,
,,,,,,2,1806,677,,,
,,,,,,3,1794,699,,,
,,,,,,4,1657,702,,,
,,,,,,5,1488,709,,,
,,,,,,6,1446,756,,,
FJ190718-001,vag,M,JL,hindwing,141.478,1,1529.333,524.667,,,
,,,,,,2,1662.667,615.333,,,
,,,,,,3,1649.333,636.667,,,
,,,,,,4,1541.333,626,,,
